Company Name,Project Name,Project Link,Daily Leads Link,1 Through 7 Day Clicked Rate,1 Through 7 Day Opt Out Rate,1 Through 3 Day Clicked Rate,1 Through 3 Day Opt Out Rate,2 Day Only Clicked Rate,2 Day Only Opt Out Rate,1 Day Only Clicked Rate,1 Day Only Opt Out Rate,Period Start UTC,Period End UTC
AdaptHealth,Patient Financial Services 30-60 Days (Drive to Site),https://manage.drips.com/Project/Dash/1FCFDEA8-0F87-414E-847A-83C7AEF5535E,https://manage.drips.com/Company/Portal/504A02AC-0C45-4535-BF43-E6C2986AB4A1?project=1FCFDEA8-0F87-414E-847A-83C7AEF5535E&reportName=dailyleads,10.935%,8.762%,10.756%,7.849%,14.120%,7.176%,9.395%,7.724%,10/20/2021,10/27/2021
American Home Shield Corp,After Hours,https://manage.drips.com/Project/Dash/12D2F1AF-D953-49E3-9A14-E589AF41C735,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=12D2F1AF-D953-49E3-9A14-E589AF41C735&reportName=dailyleads,0.746%,25.793%,0.833%,23.796%,0.941%,21.882%,0.926%,18.519%,10/20/2021,10/27/2021
American Home Shield Corp,After Hours - ATT,https://manage.drips.com/Project/Dash/BABD4F76-D14B-4C03-8166-45B49A37EB15,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=BABD4F76-D14B-4C03-8166-45B49A37EB15&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Live,https://manage.drips.com/Project/Dash/C8E8FAE3-8630-4277-9176-4F6DC5C5FB15,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=C8E8FAE3-8630-4277-9176-4F6DC5C5FB15&reportName=dailyleads,0.337%,22.503%,0.548%,19.846%,0.610%,22.256%,0.000%,16.910%,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Re-engaged,https://manage.drips.com/Project/Dash/3C36C6FE-388E-4080-83BF-29AE0582D048,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=3C36C6FE-388E-4080-83BF-29AE0582D048&reportName=dailyleads,0.384%,20.251%,0.385%,15.923%,0.652%,17.826%,0.190%,12.357%,10/20/2021,10/27/2021
American Home Shield Corp,AHS - Re-engaged - ATT,https://manage.drips.com/Project/Dash/A8C2EAAC-AB08-49BD-A85F-532EDF8618B7,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=A8C2EAAC-AB08-49BD-A85F-532EDF8618B7&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
American Home Shield Corp,Z - Friends + Family Follow Up (D2S),https://manage.drips.com/Project/Dash/095A0795-6F6B-4EE8-AC68-5B3B94ACB144,https://manage.drips.com/Company/Portal/2DB1E347-5685-472E-833C-A8262DDA56B6?project=095A0795-6F6B-4EE8-AC68-5B3B94ACB144&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Centene Corporation,WellCare - D2C/D2S Hybrid,https://manage.drips.com/Project/Dash/A280BBDD-AF48-4EA2-944E-E0A2176114DF,https://manage.drips.com/Company/Portal/830AC53A-A718-443C-89A2-12E82D69E02E?project=A280BBDD-AF48-4EA2-944E-E0A2176114DF&reportName=dailyleads,18.074%,3.600%,18.074%,3.600%,18.074%,3.600%,,,10/20/2021,10/27/2021
Core Digital Media,Remonetize - ATT,https://manage.drips.com/Project/Dash/3A54CC88-6487-409D-A6F1-AEC137821B68,https://manage.drips.com/Company/Portal/F566520C-236D-4EBC-84FB-CD1D4B8263EA?project=3A54CC88-6487-409D-A6F1-AEC137821B68&reportName=dailyleads,10.811%,43.243%,6.818%,22.727%,5.556%,27.778%,12.500%,0.000%,10/20/2021,10/27/2021
Core Digital Media,Remonetize Lead,https://manage.drips.com/Project/Dash/69627FBA-D031-425A-86CA-1C7151421C51,https://manage.drips.com/Company/Portal/F566520C-236D-4EBC-84FB-CD1D4B8263EA?project=69627FBA-D031-425A-86CA-1C7151421C51&reportName=dailyleads,13.187%,18.315%,6.452%,12.258%,7.692%,14.615%,0.000%,0.000%,10/20/2021,10/27/2021
Core Digital Media: Drive to Site,FIN: EnhancedRefiNow,https://manage.drips.com/Project/Dash/DC8070BB-6799-4ECF-9510-A1B3B0025DAB,https://manage.drips.com/Company/Portal/4B897129-867D-4956-B822-8A4D60C3B364?project=DC8070BB-6799-4ECF-9510-A1B3B0025DAB&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Core Digital Media: Drive to Site,FIN: Mortgage Refinance (Quicken),https://manage.drips.com/Project/Dash/F5BD5106-5026-4F80-80AD-E5BA16A75450,https://manage.drips.com/Company/Portal/4B897129-867D-4956-B822-8A4D60C3B364?project=F5BD5106-5026-4F80-80AD-E5BA16A75450&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Core Digital Media: Drive to Site,FIN: Personal Loan MarketPlace,https://manage.drips.com/Project/Dash/EE859BBD-BCED-4755-9049-96937998B6A1,https://manage.drips.com/Company/Portal/4B897129-867D-4956-B822-8A4D60C3B364?project=EE859BBD-BCED-4755-9049-96937998B6A1&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Digital Media Solutions - Website Reengagement,Education Grant,https://manage.drips.com/Project/Dash/171A3247-D7B0-4A17-B3D7-0CCCCD6D04FE,https://manage.drips.com/Company/Portal/F46FFB20-CCDA-4A5B-B382-174B9A8BA79F?project=171A3247-D7B0-4A17-B3D7-0CCCCD6D04FE&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Digital Media Solutions - Website Reengagement,Education Search,https://manage.drips.com/Project/Dash/C6C2AEB3-9EA5-4F83-B4D2-D213191F2B09,https://manage.drips.com/Company/Portal/F46FFB20-CCDA-4A5B-B382-174B9A8BA79F?project=C6C2AEB3-9EA5-4F83-B4D2-D213191F2B09&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Digital Media Solutions - Website Reengagement,Job Alert,https://manage.drips.com/Project/Dash/A9E0E162-3985-4C1C-9D11-02FCC7450E9E,https://manage.drips.com/Company/Portal/F46FFB20-CCDA-4A5B-B382-174B9A8BA79F?project=A9E0E162-3985-4C1C-9D11-02FCC7450E9E&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Digital Media Solutions - Website Reengagement,Loans,https://manage.drips.com/Project/Dash/2BD6FB89-4B03-4531-9845-39F715A5B46C,https://manage.drips.com/Company/Portal/F46FFB20-CCDA-4A5B-B382-174B9A8BA79F?project=2BD6FB89-4B03-4531-9845-39F715A5B46C&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Digital Media Solutions - Website Reengagement,Survey Winners,https://manage.drips.com/Project/Dash/51556A75-B367-4AC1-99D8-B1323A329CE5,https://manage.drips.com/Company/Portal/F46FFB20-CCDA-4A5B-B382-174B9A8BA79F?project=51556A75-B367-4AC1-99D8-B1323A329CE5&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
EverQuote,Auto - Drive to Site,https://manage.drips.com/Project/Dash/BE0E3C08-4808-47D6-BAF2-F9F6E5A5A239,https://manage.drips.com/Company/Portal/0B73EA35-563F-4E47-B2E5-3ED33CB0DCBF?project=BE0E3C08-4808-47D6-BAF2-F9F6E5A5A239&reportName=dailyleads,9.962%,22.122%,7.730%,17.227%,8.630%,19.607%,4.793%,13.084%,10/20/2021,10/27/2021
EverQuote,Health Insurance,https://manage.drips.com/Project/Dash/C3B60DB5-C137-4625-A95A-8E9DDB4AF6C2,https://manage.drips.com/Company/Portal/0B73EA35-563F-4E47-B2E5-3ED33CB0DCBF?project=C3B60DB5-C137-4625-A95A-8E9DDB4AF6C2&reportName=dailyleads,9.469%,25.686%,6.104%,18.577%,8.179%,20.976%,3.337%,15.765%,10/20/2021,10/27/2021
EverQuote,Home - Drive to Site,https://manage.drips.com/Project/Dash/D35424E2-217D-444F-944F-78998A642681,https://manage.drips.com/Company/Portal/0B73EA35-563F-4E47-B2E5-3ED33CB0DCBF?project=D35424E2-217D-444F-944F-78998A642681&reportName=dailyleads,11.861%,22.800%,9.776%,18.070%,11.074%,20.496%,6.934%,14.786%,10/20/2021,10/27/2021
EverQuote,Life Insurance,https://manage.drips.com/Project/Dash/265A1D7C-AD56-417C-B15A-53334C61CC27,https://manage.drips.com/Company/Portal/0B73EA35-563F-4E47-B2E5-3ED33CB0DCBF?project=265A1D7C-AD56-417C-B15A-53334C61CC27&reportName=dailyleads,12.008%,18.246%,10.182%,12.673%,11.711%,13.532%,5.755%,9.749%,10/20/2021,10/27/2021
Fluent,D2S - AARP - Membership Driver - SMS,https://manage.drips.com/Project/Dash/D8A2FD5E-3AE3-4078-9DCF-8219EDEACBC4,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=D8A2FD5E-3AE3-4078-9DCF-8219EDEACBC4&reportName=dailyleads,1.720%,21.930%,1.230%,18.648%,1.067%,19.055%,1.324%,16.029%,10/20/2021,10/27/2021
Fluent,D2S - Adduco - SSDI - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/FA30C025-22F9-4065-A1A0-13FD1D5525FD,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=FA30C025-22F9-4065-A1A0-13FD1D5525FD&reportName=dailyleads,8.327%,16.880%,7.957%,16.592%,8.201%,17.194%,6.167%,15.520%,10/20/2021,10/27/2021
Fluent,D2S - Aetna - Medicare Supplement - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/CC8B132F-6D86-4261-9454-503E712D8364,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=CC8B132F-6D86-4261-9454-503E712D8364&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Airfind - Smore App - SMS,https://manage.drips.com/Project/Dash/7CD5E016-504C-4923-9CF0-4C09EC49CEC7,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=7CD5E016-504C-4923-9CF0-4C09EC49CEC7&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Auto Insurance - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/668E5E69-7F7F-4EC8-9607-056A9C45BAC3,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=668E5E69-7F7F-4EC8-9607-056A9C45BAC3&reportName=dailyleads,4.041%,17.625%,3.369%,16.870%,3.877%,17.730%,2.653%,16.399%,10/20/2021,10/27/2021
Fluent,D2S - Care2 - Animal Petitions - SMS,https://manage.drips.com/Project/Dash/1725ABCE-4290-4ED6-BE1A-F0FA58E4DD56,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=1725ABCE-4290-4ED6-BE1A-F0FA58E4DD56&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Care2 - Human and Civil Right Petitions - SMS,https://manage.drips.com/Project/Dash/B53BA4AE-FC9A-4F0C-BBD4-658B46A26291,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=B53BA4AE-FC9A-4F0C-BBD4-658B46A26291&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Class Action Lawsuit - D2S,https://manage.drips.com/Project/Dash/16A15E02-C25C-4C84-88C7-570995C6D74E,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=16A15E02-C25C-4C84-88C7-570995C6D74E&reportName=dailyleads,4.312%,8.651%,3.585%,8.521%,3.417%,9.196%,3.931%,8.054%,10/20/2021,10/27/2021
Fluent,D2S - Clickso - Option City Survey for Money - SMS,https://manage.drips.com/Project/Dash/5576FB74-A426-429C-B583-B43E7D334307,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=5576FB74-A426-429C-B583-B43E7D334307&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Data Prosper (Inbound.io) - MVA - SMS,https://manage.drips.com/Project/Dash/432AB3A4-DC06-4648-903D-3DBC0D4B7915,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=432AB3A4-DC06-4648-903D-3DBC0D4B7915&reportName=dailyleads,7.158%,14.245%,5.926%,14.167%,7.445%,15.148%,5.479%,12.443%,10/20/2021,10/27/2021
Fluent,D2S - Data Prosper (Inbound.io) - Workers Comp - SMS,https://manage.drips.com/Project/Dash/B7574A7C-330B-40AA-AB30-3A7DFFB529C5,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=B7574A7C-330B-40AA-AB30-3A7DFFB529C5&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - EPCVIP - Auto Insurance - SMS - DR,https://manage.drips.com/Project/Dash/7DEAC7D0-60BA-4AAE-AC97-8C5FA9E8E317,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=7DEAC7D0-60BA-4AAE-AC97-8C5FA9E8E317&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - EPCVIP - Personal Loans - SMS - DR,https://manage.drips.com/Project/Dash/BD3CAFA8-4AF2-4483-A4D8-39D1AB4D30C9,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=BD3CAFA8-4AF2-4483-A4D8-39D1AB4D30C9&reportName=dailyleads,5.649%,15.134%,5.534%,14.906%,5.894%,15.774%,4.082%,12.914%,10/20/2021,10/27/2021
Fluent,D2S - Epsilon - Shoppers Voice - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/790D4C90-2819-4749-9A5F-87F56072BFC6,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=790D4C90-2819-4749-9A5F-87F56072BFC6&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Geico - Auto Insurance - SMS,https://manage.drips.com/Project/Dash/C6D05886-5A47-4172-BE29-3C775249A825,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=C6D05886-5A47-4172-BE29-3C775249A825&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Get Trucker Jobs - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/F2FECF59-4888-4C8E-BE61-E2B0C1C10573,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=F2FECF59-4888-4C8E-BE61-E2B0C1C10573&reportName=dailyleads,4.672%,17.616%,4.579%,17.312%,4.964%,17.244%,2.847%,16.596%,10/20/2021,10/27/2021
Fluent,D2S - LexLaw - Credit Repair - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/619195E7-D3A4-4045-A518-5D0A36E3FC6F,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=619195E7-D3A4-4045-A518-5D0A36E3FC6F&reportName=dailyleads,2.185%,13.427%,1.840%,11.698%,1.782%,12.579%,1.442%,11.465%,10/20/2021,10/27/2021
Fluent,D2S - Main - Medicare Supplement - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/724F4362-C6D5-4F87-9652-FA7D31673F3B,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=724F4362-C6D5-4F87-9652-FA7D31673F3B&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - New Lotus - Psychic Zodiac - SMS,https://manage.drips.com/Project/Dash/2F6C4B54-FCF2-4DD4-830F-E93CDA929CDE,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=2F6C4B54-FCF2-4DD4-830F-E93CDA929CDE&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Nift - Gift Card - D2S,https://manage.drips.com/Project/Dash/D210AD7A-F546-49EB-9990-5220F96FBDE2,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=D210AD7A-F546-49EB-9990-5220F96FBDE2&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Olive - Auto Warranty - SMS,https://manage.drips.com/Project/Dash/509EF65D-3795-495A-800A-0DB4388922CF,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=509EF65D-3795-495A-800A-0DB4388922CF&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Penrose - FirstLeaf Wine - SMS,https://manage.drips.com/Project/Dash/AB7F6866-5B3F-448A-BD70-EBB100450D63,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=AB7F6866-5B3F-448A-BD70-EBB100450D63&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Pentius - Credit Repair - D2S - SMS - Drips,https://manage.drips.com/Project/Dash/52181537-10EB-47D5-ADC1-24CB2BBD95B8,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=52181537-10EB-47D5-ADC1-24CB2BBD95B8&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Playtika - Casino Games - App,https://manage.drips.com/Project/Dash/B66B7CBF-926C-41AD-BFB3-2D2661EEABCF,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=B66B7CBF-926C-41AD-BFB3-2D2661EEABCF&reportName=dailyleads,7.740%,18.949%,7.826%,18.954%,8.671%,20.045%,6.442%,18.173%,10/20/2021,10/27/2021
Fluent,D2S - Policy Savings - Medicare - SMS,https://manage.drips.com/Project/Dash/5E5EDEC6-A93B-4D6F-929B-A9990687A036,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=5E5EDEC6-A93B-4D6F-929B-A9990687A036&reportName=dailyleads,2.031%,15.262%,1.803%,14.984%,1.848%,16.114%,1.398%,14.398%,10/20/2021,10/27/2021
Fluent,D2S - Stash - Invest - App,https://manage.drips.com/Project/Dash/0546CE0B-8017-4B4F-94AB-616A10ADD78C,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=0546CE0B-8017-4B4F-94AB-616A10ADD78C&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - What If - Class Action Guide - SMS - Drips,https://manage.drips.com/Project/Dash/52F53C2B-48EF-43B3-B96A-1E7B5D6C50CD,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=52F53C2B-48EF-43B3-B96A-1E7B5D6C50CD&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - What If - Unemployment Benefits Guide - SMS,https://manage.drips.com/Project/Dash/EA55B091-078D-4664-878F-B2D001355F62,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=EA55B091-078D-4664-878F-B2D001355F62&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Winopoly - Customer Service Agent Test - Transactional,https://manage.drips.com/Project/Dash/09F84240-5BAB-4FDC-AAE6-33B03952AC41,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=09F84240-5BAB-4FDC-AAE6-33B03952AC41&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Winopoly Customer Service Agent Test TFN,https://manage.drips.com/Project/Dash/73327B44-7E12-408D-82CE-EAF8B838FDE5,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=73327B44-7E12-408D-82CE-EAF8B838FDE5&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Yidio - Streaming - SMS,https://manage.drips.com/Project/Dash/F4B39922-9D21-4A20-B85B-740678A5077B,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=F4B39922-9D21-4A20-B85B-740678A5077B&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,D2S - Zebit - Product Financing - SMS,https://manage.drips.com/Project/Dash/286B8A42-C144-4F6F-B557-6F3C72FA86B0,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=286B8A42-C144-4F6F-B557-6F3C72FA86B0&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Vertical - Policy Savings,https://manage.drips.com/Project/Dash/E467F645-3600-43CD-9E8D-2A37A68B2AFA,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=E467F645-3600-43CD-9E8D-2A37A68B2AFA&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - Cancer Screening D2S Campaign,https://manage.drips.com/Project/Dash/C2F35939-2520-4D4B-94B9-EBBB5166F3F3,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=C2F35939-2520-4D4B-94B9-EBBB5166F3F3&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - Credit Score - D2S,https://manage.drips.com/Project/Dash/A3CC2C24-F098-4480-9470-E17AA517F647,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=A3CC2C24-F098-4480-9470-E17AA517F647&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - DO NOT USE - US Rewards - Reactivation - Week 4 - Jobs,https://manage.drips.com/Project/Dash/323B233C-2F63-4490-BFE8-6635959D9FC1,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=323B233C-2F63-4490-BFE8-6635959D9FC1&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - EPCVIP - Debt Consolidation - SMS - DR,https://manage.drips.com/Project/Dash/16B55CDF-C8C2-4E02-ACC1-0219A2223D36,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=16B55CDF-C8C2-4E02-ACC1-0219A2223D36&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - HT - Hearing Aids - SMS - DR,https://manage.drips.com/Project/Dash/A18F7EC5-4ADB-448A-995E-BCFC39AA1EE1,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=A18F7EC5-4ADB-448A-995E-BCFC39AA1EE1&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent,Z - TM - Med Supp - D2S,https://manage.drips.com/Project/Dash/0F05FB2F-8AF6-4091-87C6-79683755A33E,https://manage.drips.com/Company/Portal/CA404D36-FFE7-474C-8DC5-CEF28DB82382?project=0F05FB2F-8AF6-4091-87C6-79683755A33E&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
