Company Name,Project Name,Project Link,Daily Leads Link,1 Through 7 Day Clicked Rate,1 Through 7 Day Opt Out Rate,1 Through 3 Day Clicked Rate,1 Through 3 Day Opt Out Rate,2 Day Only Clicked Rate,2 Day Only Opt Out Rate,1 Day Only Clicked Rate,1 Day Only Opt Out Rate,Period Start UTC,Period End UTC
Fluent - Website Reengagement,Viewers Day 1 - On Hours - Verizon,https://manage.drips.com/Project/Dash/916EC9F9-5F41-460F-9EB8-C83DD813D62D,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=916EC9F9-5F41-460F-9EB8-C83DD813D62D&reportName=dailyleads,20.138%,16.663%,18.143%,13.905%,18.530%,14.778%,14.436%,11.654%,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Clickers Off Hours (12a-8a),https://manage.drips.com/Project/Dash/7AC29021-5B88-41D3-B6C0-2D6CA7052FDC,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=7AC29021-5B88-41D3-B6C0-2D6CA7052FDC&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Clickers Off Hours (12a-8a) - Verizon,https://manage.drips.com/Project/Dash/F9E8BD10-399C-421D-875A-7641911580AB,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=F9E8BD10-399C-421D-875A-7641911580AB&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Clickers Off Hours (8p-11:59p),https://manage.drips.com/Project/Dash/069EED49-4343-4AA1-8CFB-8F00E37694CE,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=069EED49-4343-4AA1-8CFB-8F00E37694CE&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Clickers Off Hours (8p-11:59p) - Verizon,https://manage.drips.com/Project/Dash/418AE4FA-3CF1-40A3-B88C-03F2752BB522,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=418AE4FA-3CF1-40A3-B88C-03F2752BB522&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - EDU SMS,https://manage.drips.com/Project/Dash/D575A095-2543-48CF-8393-5AC53E51D5E9,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=D575A095-2543-48CF-8393-5AC53E51D5E9&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Flow Converters RT - Primer - Off Hours - 12a-8a,https://manage.drips.com/Project/Dash/340DEE2B-62B6-45EB-A9AF-3658E5FDE8E0,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=340DEE2B-62B6-45EB-A9AF-3658E5FDE8E0&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Flow Converters RT - Primer - Off Hours - 12a-8a - Verizon,https://manage.drips.com/Project/Dash/A69F9C29-82A3-4045-8741-09F23E569E93,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=A69F9C29-82A3-4045-8741-09F23E569E93&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Flow Converters RT - Primer - Off Hours - 8p-11:59p,https://manage.drips.com/Project/Dash/0127E219-6490-4524-9E27-6711832AB033,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=0127E219-6490-4524-9E27-6711832AB033&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Flow Converters RT - Primer - Off Hours - 8p-11:59p  - Sprint,https://manage.drips.com/Project/Dash/CC39ED60-80F8-4F2C-A65B-52F83AB38FB4,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=CC39ED60-80F8-4F2C-A65B-52F83AB38FB4&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Flow Converters RT - Primer - Off Hours - 8p-11:59p - Verizon,https://manage.drips.com/Project/Dash/8262D475-5DC3-47EE-9178-7C473545BD12,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=8262D475-5DC3-47EE-9178-7C473545BD12&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Lucky Spinner,https://manage.drips.com/Project/Dash/7A0DE3D8-C72E-47B3-9260-169476F9264A,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=7A0DE3D8-C72E-47B3-9260-169476F9264A&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Lucky Spinner - Verizon,https://manage.drips.com/Project/Dash/310892EC-57A6-4FB1-A908-D80F7A6888F4,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=310892EC-57A6-4FB1-A908-D80F7A6888F4&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - New TCPA Day 1 - Verizon,https://manage.drips.com/Project/Dash/F8278C57-8FCB-47D4-BE54-F0EE284BF3BF,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=F8278C57-8FCB-47D4-BE54-F0EE284BF3BF&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - ON HOLD - Converters Day 1 - ATT - Toll Free,https://manage.drips.com/Project/Dash/3C8FAE59-A881-4FED-A5AA-92B99902BABB,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=3C8FAE59-A881-4FED-A5AA-92B99902BABB&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Pay Per Call Transfers,https://manage.drips.com/Project/Dash/A65EE512-3206-43BB-ADF4-3C398E9B1557,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=A65EE512-3206-43BB-ADF4-3C398E9B1557&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Reward Reg Day 1 - Off Hours (12a-8a),https://manage.drips.com/Project/Dash/D8B30375-D6D0-4091-9765-8B95387AAE38,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=D8B30375-D6D0-4091-9765-8B95387AAE38&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Reward Reg Day 1 - Off Hours (12a-8a) - Verizon,https://manage.drips.com/Project/Dash/FE6807CC-8EF9-4BF9-B7E4-F156B9D7582A,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=FE6807CC-8EF9-4BF9-B7E4-F156B9D7582A&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Reward Reg Day 1 - Off Hours (8p-11:59p),https://manage.drips.com/Project/Dash/32BB8D01-3BA4-495C-866D-3051240ED18D,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=32BB8D01-3BA4-495C-866D-3051240ED18D&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Reward Reg Day 1 - Off Hours (8p-11:59p) - Verizon,https://manage.drips.com/Project/Dash/76CC8C0E-8ED4-4274-AD58-A9327A73C51D,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=76CC8C0E-8ED4-4274-AD58-A9327A73C51D&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Survey Voices - High Paying Surveys - SMS,https://manage.drips.com/Project/Dash/6DDC8F43-A1B5-4A5F-94C8-BDE1BCC25B02,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=6DDC8F43-A1B5-4A5F-94C8-BDE1BCC25B02&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Survey Voices Off Hours - Original,https://manage.drips.com/Project/Dash/BB4AB1D8-97A3-45CF-AD37-2E22E60B3A9F,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=BB4AB1D8-97A3-45CF-AD37-2E22E60B3A9F&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Survey Voices Off Hours - Original - Verizon,https://manage.drips.com/Project/Dash/405A90F0-B3B6-4CAB-ABEB-D4C03EB328A5,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=405A90F0-B3B6-4CAB-ABEB-D4C03EB328A5&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Survey Voices Off Hours - Original #2,https://manage.drips.com/Project/Dash/F51C554B-89C3-421C-8020-FBCFF93FCBC9,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=F51C554B-89C3-421C-8020-FBCFF93FCBC9&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Survey Voices Off Hours - Original #2 - Verizon,https://manage.drips.com/Project/Dash/52D7C2A5-922D-45DD-8C90-886F95DB7900,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=52D7C2A5-922D-45DD-8C90-886F95DB7900&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Viewers Day 1 - Off Hours (12a-8a),https://manage.drips.com/Project/Dash/83AF8F2E-D314-45E9-A33A-A6EE657BEC8F,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=83AF8F2E-D314-45E9-A33A-A6EE657BEC8F&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Viewers Day 1 - Off Hours (12a-8a) - Verizon,https://manage.drips.com/Project/Dash/883EF58C-1ADE-4AD2-AF86-8DEFED51F7EB,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=883EF58C-1ADE-4AD2-AF86-8DEFED51F7EB&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Viewers Day 1 - Off Hours (8p-11:59p),https://manage.drips.com/Project/Dash/78F93CAD-750D-4679-9592-600EC3808261,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=78F93CAD-750D-4679-9592-600EC3808261&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z - Viewers Day 1 - Off Hours (8p-11:59p) - Verizon,https://manage.drips.com/Project/Dash/4C5A1729-16F7-4D2D-BECB-9C7D14943E39,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=4C5A1729-16F7-4D2D-BECB-9C7D14943E39&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Fluent - Website Reengagement,Z -New TCPA Day 1,https://manage.drips.com/Project/Dash/A30BE744-F4CB-47B3-8B0B-BF87D2E9AD2A,https://manage.drips.com/Company/Portal/BA6EA97B-9741-40FC-B5B5-0DA747819D48?project=A30BE744-F4CB-47B3-8B0B-BF87D2E9AD2A&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Gainsco Insurance,Bill Reminder,https://manage.drips.com/Project/Dash/56BE36A7-F515-4A5C-B6D4-741FC6409110,https://manage.drips.com/Company/Portal/3D522594-319C-4685-93C8-FD21206BB41C?project=56BE36A7-F515-4A5C-B6D4-741FC6409110&reportName=dailyleads,0.106%,3.435%,0.564%,3.008%,0.599%,2.395%,0.461%,4.608%,10/20/2021,10/27/2021
Gainsco Insurance,Welcome Campaign,https://manage.drips.com/Project/Dash/9071CAC0-8AD8-4EBE-AFF0-AE49F3DE7E8B,https://manage.drips.com/Company/Portal/3D522594-319C-4685-93C8-FD21206BB41C?project=9071CAC0-8AD8-4EBE-AFF0-AE49F3DE7E8B&reportName=dailyleads,15.909%,6.818%,2.128%,4.255%,0.000%,11.765%,3.333%,0.000%,10/20/2021,10/27/2021
InfoCision Management Corporation,Cox - Drive to App,https://manage.drips.com/Project/Dash/BB6B3D49-3736-4F90-B5F6-BC8FB3E1B990,https://manage.drips.com/Company/Portal/156089A9-A869-44B3-B2C6-92836F488D9A?project=BB6B3D49-3736-4F90-B5F6-BC8FB3E1B990&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Interest Media,CoReg D2S,https://manage.drips.com/Project/Dash/01C51FF0-D784-46E2-A28F-C37DC08718DD,https://manage.drips.com/Company/Portal/B77ACDEA-8BD3-42A5-901E-8D3727B96971?project=01C51FF0-D784-46E2-A28F-C37DC08718DD&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Interest Media,CoReg D2S - ATT,https://manage.drips.com/Project/Dash/FBD18E83-7892-4BC6-A32E-B61FB7B1A52C,https://manage.drips.com/Company/Portal/B77ACDEA-8BD3-42A5-901E-8D3727B96971?project=FBD18E83-7892-4BC6-A32E-B61FB7B1A52C&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Liberty Mutual,(AP) Compare.com Auto Dual CTA,https://manage.drips.com/Project/Dash/6FC578A1-A704-4367-853A-CAE71D74CB1D,https://manage.drips.com/Company/Portal/03A6B781-C3EF-4A6A-B1B2-89367F3054EB?project=6FC578A1-A704-4367-853A-CAE71D74CB1D&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Liberty Mutual,Drive 2 Site - Vehicle Error Leads,https://manage.drips.com/Project/Dash/D0791CF2-8815-4C16-8932-09448BB5098E,https://manage.drips.com/Company/Portal/03A6B781-C3EF-4A6A-B1B2-89367F3054EB?project=D0791CF2-8815-4C16-8932-09448BB5098E&reportName=dailyleads,19.767%,13.307%,19.629%,10.610%,19.753%,14.198%,16.763%,8.671%,10/20/2021,10/27/2021
Liberty Mutual,Drive 2 Site - Vehicle Error Leads - ATT ONLY,https://manage.drips.com/Project/Dash/F12588D9-49E8-4A34-813C-12D7081DAB8B,https://manage.drips.com/Company/Portal/03A6B781-C3EF-4A6A-B1B2-89367F3054EB?project=F12588D9-49E8-4A34-813C-12D7081DAB8B&reportName=dailyleads,8.163%,13.776%,7.692%,6.593%,8.824%,8.824%,6.250%,6.250%,10/20/2021,10/27/2021
Liberty Mutual,Quote Wizard Auto On Hours,https://manage.drips.com/Project/Dash/63849E41-846B-4540-A0D4-D913D044B1CA,https://manage.drips.com/Company/Portal/03A6B781-C3EF-4A6A-B1B2-89367F3054EB?project=63849E41-846B-4540-A0D4-D913D044B1CA&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Liberty Mutual,Quote Wizard Auto On Hours - Dual CTA,https://manage.drips.com/Project/Dash/6B626CFE-985B-4BE4-8139-329F46404582,https://manage.drips.com/Company/Portal/03A6B781-C3EF-4A6A-B1B2-89367F3054EB?project=6B626CFE-985B-4BE4-8139-329F46404582&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
NextGen Leads,D2S - Auto - AT & T,https://manage.drips.com/Project/Dash/A31C5C33-B4E1-412D-BB16-4D97A7D29807,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=A31C5C33-B4E1-412D-BB16-4D97A7D29807&reportName=dailyleads,0.897%,0.448%,,,,,,,10/20/2021,10/27/2021
NextGen Leads,D2S - Auto - CoReg,https://manage.drips.com/Project/Dash/2B59DDB6-88CA-4618-9FE8-A91BB9CE3F89,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=2B59DDB6-88CA-4618-9FE8-A91BB9CE3F89&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
NextGen Leads,D2S - Auto - CoReg - AT&T,https://manage.drips.com/Project/Dash/5FEF1F9A-1071-4759-9B53-DFB70C42A151,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=5FEF1F9A-1071-4759-9B53-DFB70C42A151&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
NextGen Leads,D2S - Auto Insurance,https://manage.drips.com/Project/Dash/52D707E8-DAD7-4100-B4B9-FD348266BD02,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=52D707E8-DAD7-4100-B4B9-FD348266BD02&reportName=dailyleads,13.263%,20.271%,9.697%,15.556%,16.842%,14.737%,6.646%,16.139%,10/20/2021,10/27/2021
NextGen Leads,D2S - Health,https://manage.drips.com/Project/Dash/C6A60F29-8BC0-4BF7-8F1E-49D1D4BE8B4F,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=C6A60F29-8BC0-4BF7-8F1E-49D1D4BE8B4F&reportName=dailyleads,13.698%,25.775%,10.435%,21.353%,13.806%,21.729%,8.943%,21.108%,10/20/2021,10/27/2021
NextGen Leads,D2S - Health - AT & T,https://manage.drips.com/Project/Dash/F345C2E8-0017-4FCE-9820-3BE70883CD51,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=F345C2E8-0017-4FCE-9820-3BE70883CD51&reportName=dailyleads,0.248%,2.273%,,,,,,,10/20/2021,10/27/2021
NextGen Leads,D2S - Medicare,https://manage.drips.com/Project/Dash/6360D74E-A7AF-4881-9649-B35BA705D90E,https://manage.drips.com/Company/Portal/E11E5041-20E8-43C7-A62B-919CD3115380?project=6360D74E-A7AF-4881-9649-B35BA705D90E&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Permanent General Companies_ Inc.,Rated SMS - Drive to Site,https://manage.drips.com/Project/Dash/D670F958-E4CB-44EB-8FB3-FAF4C1B09C4F,https://manage.drips.com/Company/Portal/35CBD685-067D-4F84-A892-BD99C64E817C?project=D670F958-E4CB-44EB-8FB3-FAF4C1B09C4F&reportName=dailyleads,20.857%,13.994%,18.656%,11.054%,18.559%,11.723%,15.942%,9.287%,10/20/2021,10/27/2021
Permanent General Companies_ Inc.,ROUTER - Rated SMS - Drive to Site - ATT,https://manage.drips.com/Project/Dash/4B1F0C9F-9854-49F8-8B63-8F1F956F9A50,https://manage.drips.com/Company/Portal/35CBD685-067D-4F84-A892-BD99C64E817C?project=4B1F0C9F-9854-49F8-8B63-8F1F956F9A50&reportName=dailyleads,100.000%,0.000%,,,,,,,10/20/2021,10/27/2021
Progrexion,D2S: MK-OP: Verizon Save - Lex Law,https://manage.drips.com/Project/Dash/101770FC-2F5C-456F-AD17-0C62177A5037,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=101770FC-2F5C-456F-AD17-0C62177A5037&reportName=dailyleads,7.069%,4.685%,0.177%,0.000%,0.156%,0.000%,0.218%,0.000%,10/20/2021,10/27/2021
Progrexion,MK:OP - Credit Tips - D2S,https://manage.drips.com/Project/Dash/BFA7BF00-CDCF-4FB2-A4CE-0FC298A83BC0,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=BFA7BF00-CDCF-4FB2-A4CE-0FC298A83BC0&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Progrexion,MK:OP - Credit Tips - D2S - TMOBILE,https://manage.drips.com/Project/Dash/40F42737-C460-42A3-9031-830ED8B8E672,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=40F42737-C460-42A3-9031-830ED8B8E672&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
Progrexion,MK:OP - D2S - Housing E-Book,https://manage.drips.com/Project/Dash/21880BC4-7B05-4D2D-A546-DF480748CAC4,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=21880BC4-7B05-4D2D-A546-DF480748CAC4&reportName=dailyleads,42.857%,14.286%,,,,,,,10/20/2021,10/27/2021
Progrexion,MK:OP - D2S - RTO E-Book,https://manage.drips.com/Project/Dash/4B896E8A-0018-4EF4-A340-22742EB01680,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=4B896E8A-0018-4EF4-A340-22742EB01680&reportName=dailyleads,23.944%,14.085%,21.875%,12.500%,27.273%,9.091%,9.091%,9.091%,10/20/2021,10/27/2021
Progrexion,MK-OP: Drive2Site - Phone to Web,https://manage.drips.com/Project/Dash/57E8761E-424B-4D5C-B4EA-50A5906EF1C3,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=57E8761E-424B-4D5C-B4EA-50A5906EF1C3&reportName=dailyleads,11.685%,12.360%,9.770%,11.494%,12.727%,18.182%,4.545%,5.682%,10/20/2021,10/27/2021
Progrexion,MK-OP: Drive2Site - Phone to Web - TMOBILE,https://manage.drips.com/Project/Dash/6C387371-663B-4C36-BE9A-F19EA807C2DF,https://manage.drips.com/Company/Portal/1B3AA293-51B9-4534-AAB0-D4337C2E9F3F?project=6C387371-663B-4C36-BE9A-F19EA807C2DF&reportName=dailyleads,29.801%,27.152%,25.000%,26.471%,27.778%,44.444%,22.222%,13.889%,10/20/2021,10/27/2021
QuoteWizard.com_ LLC -Seattle,D2S - Auto - CoReg,https://manage.drips.com/Project/Dash/A5C065B3-7241-466D-93F3-1DB81E0DEE6A,https://manage.drips.com/Company/Portal/2596BD3F-7287-42C1-836F-E694C2F30DB9?project=A5C065B3-7241-466D-93F3-1DB81E0DEE6A&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
QuoteWizard.com_ LLC -Seattle,D2S - Auto - CoReg - AT & T,https://manage.drips.com/Project/Dash/1F4868A7-9AAF-455A-A1B1-3E76259F6FB0,https://manage.drips.com/Company/Portal/2596BD3F-7287-42C1-836F-E694C2F30DB9?project=1F4868A7-9AAF-455A-A1B1-3E76259F6FB0&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
What If Media,D2S - Auto Insurance - ATT (old),https://manage.drips.com/Project/Dash/D9592012-2152-42EA-8B59-66AB07FCFD8E,https://manage.drips.com/Company/Portal/C15EA97E-A26E-49F5-A1DA-DEE9CFAC2D24?project=D9592012-2152-42EA-8B59-66AB07FCFD8E&reportName=dailyleads,,,,,,,,,10/20/2021,10/27/2021
What If Media,D2S Auto ATT,https://manage.drips.com/Project/Dash/69D76F49-C937-47C3-9AA3-AF02E1CA419E,https://manage.drips.com/Company/Portal/C15EA97E-A26E-49F5-A1DA-DEE9CFAC2D24?project=69D76F49-C937-47C3-9AA3-AF02E1CA419E&reportName=dailyleads,4.871%,11.175%,3.934%,9.836%,1.942%,12.621%,3.883%,5.825%,10/20/2021,10/27/2021
What If Media,D2S Auto Insurance,https://manage.drips.com/Project/Dash/91E6A287-E106-4FFD-9159-31A0D83CA74E,https://manage.drips.com/Company/Portal/C15EA97E-A26E-49F5-A1DA-DEE9CFAC2D24?project=91E6A287-E106-4FFD-9159-31A0D83CA74E&reportName=dailyleads,5.891%,12.364%,4.665%,10.211%,4.738%,10.723%,3.150%,10.236%,10/20/2021,10/27/2021
What If Media,D2S Master Router,https://manage.drips.com/Project/Dash/DE46C052-B099-4EB6-AB86-76DF90DFE080,https://manage.drips.com/Company/Portal/C15EA97E-A26E-49F5-A1DA-DEE9CFAC2D24?project=DE46C052-B099-4EB6-AB86-76DF90DFE080&reportName=dailyleads,0.000%,0.179%,0.000%,0.232%,0.000%,0.333%,0.000%,0.172%,10/20/2021,10/27/2021
